contract_id,vendor_name,category,contract_value_usd,start_date,end_date,governing_law,liability_cap_usd,auto_renews,risk_flags,risk_level,owner_team
CTR0064,Apex Consulting,Consulting,1623127.72,2023-12-30,2024-12-24,NY,3644138.08,No,Expiring Soon; High Liability; High Value,High,People
CTR0065,Meridian Systems,NDA,636880.59,2022-05-16,2023-05-11,CA,1857872.28,Yes,Expiring Soon; High Liability; Auto-Renew Risk; High Value,High,Design
CTR0066,BrightPath Inc,NDA,1452243.19,2025-03-30,2027-03-20,WA,2676986.06,No,High Liability; High Value,High,Engineering
CTR0067,NovaSys,SaaS,999833.35,2022-08-27,2023-08-22,CA,2518490.39,Yes,Expiring Soon; High Liability; Auto-Renew Risk; High Value,High,Engineering
CTR0068,Meridian Systems,SaaS,1911723.32,2022-08-23,2023-08-18,CA,4840408.4,No,Expiring Soon; High Liability; High Value,High,Marketing
CTR0069,Lattice Ops,NDA,626123.15,2023-01-16,2024-01-11,MA,1052399.53,No,Expiring Soon; High Liability; High Value,High,Operations
CTR0070,ClearView AI,Professional Services,46633.47,2023-12-11,2024-12-05,GA,97772.51,No,Expiring Soon,Medium,Finance
CTR0071,Apex Consulting,Data & Analytics,1546175.18,2022-10-05,2026-09-14,CO,3954670.67,Yes,High Liability; High Value,High,Finance
CTR0072,Pinnacle Tech,Hardware,337216.6,2025-05-14,2026-05-09,WA,869504.05,Yes,Expiring Soon; Auto-Renew Risk,High,IT
CTR0073,Orion Global,Hardware,985973.93,2025-01-19,2026-01-14,GA,2952700.1,No,Expiring Soon; High Liability; High Value,High,Operations
CTR0074,NovaSys,MSA,430610.02,2023-10-07,2026-09-21,CO,734196.83,Yes,None,Low,Sales
CTR0075,Clearline Ltd,Hardware,1526317.77,2024-05-17,2026-05-07,DE,2033637.36,No,Expiring Soon; High Liability; High Value,High,Product
CTR0076,Pinnacle Tech,Consulting,1898522.45,2023-06-20,2024-06-14,GA,3440919.66,No,Expiring Soon; High Liability; High Value,High,People
CTR0077,ClearView AI,Consulting,294273.23,2025-02-16,2027-02-06,WA,419917.79,No,None,Low,Design
CTR0078,Pinnacle Tech,MSA,910927.37,2023-08-17,2026-08-01,WA,2376303.93,No,High Liability; High Value,High,Marketing
CTR0079,ClearView AI,Professional Services,605920.58,2024-03-20,2027-03-05,TX,1004095.48,No,High Liability; High Value,High,Marketing
CTR0080,TrueData Co,Professional Services,1243176.5,2024-08-07,2026-07-28,FL,2701236.13,No,High Liability; High Value,High,Engineering
CTR0081,Apex Consulting,Hardware,442737.85,2024-09-09,2025-09-04,DE,1141643.81,Yes,Expiring Soon; High Liability; Auto-Renew Risk,High,IT
CTR0082,Vertex Solutions,SaaS,809424.41,2022-09-23,2026-09-02,NY,1265331.44,No,High Liability; High Value,High,Design
CTR0083,Lattice Ops,Hardware,531544.34,2023-12-22,2026-12-06,CO,1318005.22,Yes,High Liability; High Value,High,People
CTR0084,Orion Global,Data & Analytics,349719.31,2023-03-02,2027-02-09,GA,1023864.04,No,High Liability,Medium,Legal
CTR0085,Pinnacle Tech,Hardware,1125465.96,2022-05-04,2026-04-13,FL,1668383.74,Yes,Expiring Soon; High Liability; Auto-Renew Risk; High Value,High,Operations
CTR0086,Meridian Systems,MSA,1430271.49,2022-11-26,2023-11-21,TX,2413329.07,Yes,Expiring Soon; High Liability; Auto-Renew Risk; High Value,High,Design
CTR0087,Apex Consulting,MSA,1100265.19,2022-06-28,2024-06-17,DE,1448392.0,Yes,Expiring Soon; High Liability; Auto-Renew Risk; High Value,High,Marketing
CTR0088,DataBridge,Hardware,476279.2,2022-01-27,2026-01-06,CA,952903.76,No,Expiring Soon,Medium,Engineering
CTR0089,Orion Global,NDA,694709.43,2024-03-12,2025-03-07,NY,1646026.16,No,Expiring Soon; High Liability; High Value,High,IT
CTR0090,Apex Consulting,SaaS,1540267.98,2023-11-15,2027-10-25,GA,3495177.6,Yes,High Liability; High Value,High,Operations
CTR0091,Meridian Systems,Data & Analytics,1751712.78,2022-11-28,2026-11-07,MA,2372350.02,Yes,High Liability; High Value,High,People
CTR0092,Summit Analytics,SaaS,1744132.06,2023-09-17,2026-09-01,WA,3172697.34,No,High Liability; High Value,High,Design
CTR0093,TrueData Co,Hardware,411185.73,2024-07-15,2027-06-30,FL,439946.93,No,None,Low,Legal
CTR0094,ClearView AI,SaaS,646284.06,2023-05-15,2026-04-29,NY,1013267.74,Yes,Expiring Soon; High Liability; Auto-Renew Risk; High Value,High,Finance
CTR0095,Vertex Solutions,MSA,1815515.29,2022-10-14,2023-10-09,TX,5352545.73,No,Expiring Soon; High Liability; High Value,High,People
CTR0096,Summit Analytics,SaaS,1919482.23,2022-09-20,2023-09-15,MA,5282402.17,Yes,Expiring Soon; High Liability; Auto-Renew Risk; High Value,High,IT
CTR0097,BrightPath Inc,Professional Services,1994411.31,2023-04-25,2024-04-19,CA,4792180.08,Yes,Expiring Soon; High Liability; Auto-Renew Risk; High Value,High,Sales
CTR0098,Meridian Systems,SaaS,856313.68,2022-05-22,2026-05-01,FL,2424389.93,No,Expiring Soon; High Liability; High Value,High,IT
CTR0099,Acme Corp,NDA,1107629.82,2023-02-17,2025-02-06,WA,1945329.24,No,Expiring Soon; High Liability; High Value,High,Engineering
CTR0100,BrightPath Inc,MSA,978039.17,2022-01-15,2025-12-25,FL,1619128.87,No,Expiring Soon; High Liability; High Value,High,Marketing
CTR0101,DataBridge,SaaS,1184492.52,2025-05-09,2028-04-23,DE,2915563.52,Yes,High Liability; High Value,High,Marketing
CTR0102,Nexus Partners,Consulting,240739.24,2023-01-22,2024-01-17,DE,403527.0,No,Expiring Soon,Medium,Sales
CTR0103,Apex Consulting,NDA,1165064.44,2024-03-07,2028-02-15,IL,2248595.98,No,High Liability; High Value,High,Operations
CTR0104,BrightPath Inc,MSA,50626.61,2023-09-04,2026-08-19,NY,114399.41,No,None,Low,People
CTR0105,Apex Consulting,Professional Services,1819915.36,2022-06-01,2025-05-16,CA,3022814.78,No,Expiring Soon; High Liability; High Value,High,Marketing
CTR0106,Meridian Systems,Data & Analytics,1961472.68,2024-02-07,2027-01-22,MA,2599834.38,No,High Liability; High Value,High,Marketing
CTR0107,Acme Corp,Data & Analytics,6591.99,2023-12-22,2026-12-06,IL,11700.9,No,None,Low,Marketing
CTR0108,Pinnacle Tech,Professional Services,1455899.55,2024-12-06,2026-11-26,MA,1612501.79,Yes,High Liability; High Value,High,Sales
CTR0109,Summit Analytics,NDA,1921901.7,2025-03-30,2027-03-20,MA,4151192.28,No,High Liability; High Value,High,IT
CTR0110,Pinnacle Tech,Data & Analytics,67128.63,2022-01-30,2023-01-25,NY,152036.81,No,Expiring Soon,Medium,Marketing
CTR0111,TrueData Co,Consulting,1469848.23,2023-08-07,2026-07-22,DE,1563886.06,Yes,High Liability; High Value,High,Operations
CTR0112,ClearView AI,Data & Analytics,1736928.58,2022-07-31,2025-07-15,DE,4395708.36,No,Expiring Soon; High Liability; High Value,High,Product
CTR0113,Apex Consulting,Consulting,1277777.77,2022-02-06,2026-01-16,NY,2546870.48,No,Expiring Soon; High Liability; High Value,High,Engineering
CTR0114,Apex Consulting,Data & Analytics,110623.05,2022-04-03,2025-03-18,CA,254395.94,No,Expiring Soon,Medium,Product
CTR0115,Pinnacle Tech,SaaS,1206193.56,2025-03-13,2027-03-03,WA,2274503.97,Yes,High Liability; High Value,High,Marketing
CTR0116,Meridian Systems,Consulting,1877006.84,2025-04-14,2026-04-09,IL,4776211.95,Yes,Expiring Soon; High Liability; Auto-Renew Risk; High Value,High,Sales
CTR0117,Clearline Ltd,Consulting,1114478.41,2022-12-16,2025-11-30,CA,2111081.38,No,Expiring Soon; High Liability; High Value,High,People
CTR0118,Lattice Ops,NDA,1935825.54,2023-09-22,2027-09-01,CO,2943529.01,No,High Liability; High Value,High,Marketing
CTR0119,NovaSys,Professional Services,1397768.48,2022-06-08,2025-05-23,CO,2517609.93,Yes,Expiring Soon; High Liability; Auto-Renew Risk; High Value,High,Legal
CTR0120,Clearline Ltd,Consulting,1258963.54,2024-07-23,2025-07-18,CA,2261009.95,No,Expiring Soon; High Liability; High Value,High,Product
CTR0121,NovaSys,NDA,463365.92,2024-04-06,2026-03-27,CO,1186863.08,No,Expiring Soon; High Liability,High,Sales
CTR0122,Clearline Ltd,Data & Analytics,1310670.29,2022-07-29,2025-07-13,MA,3434959.11,Yes,Expiring Soon; High Liability; Auto-Renew Risk; High Value,High,Finance
CTR0123,DataBridge,SaaS,983213.51,2024-08-14,2028-07-24,FL,2638425.38,No,High Liability; High Value,High,Legal
CTR0124,Meridian Systems,MSA,1835682.67,2024-06-29,2027-06-14,IL,4534081.3,No,High Liability; High Value,High,Operations
CTR0125,NovaSys,SaaS,207152.13,2023-02-26,2027-02-05,TX,330011.5,No,None,Low,Operations
CTR0126,Apex Consulting,Hardware,1177370.91,2024-11-26,2027-11-11,TX,2052219.76,Yes,High Liability; High Value,High,Product
CTR0127,ClearView AI,Hardware,1046696.55,2022-08-29,2026-08-08,FL,1676396.48,Yes,High Liability; High Value,High,Legal
CTR0128,Acme Corp,Data & Analytics,350709.51,2023-07-13,2025-07-02,TX,412296.78,Yes,Expiring Soon; Auto-Renew Risk,High,Finance
CTR0129,Acme Corp,Hardware,1388784.78,2025-02-14,2027-02-04,TX,3569029.66,Yes,High Liability; High Value,High,People
CTR0130,Orion Global,Data & Analytics,95664.72,2022-07-03,2024-06-22,WA,111289.79,No,Expiring Soon,Medium,Sales
CTR0131,Meridian Systems,SaaS,1990522.61,2025-02-21,2026-02-16,CO,4723686.88,No,Expiring Soon; High Liability; High Value,High,Sales
CTR0132,DataBridge,Professional Services,1558518.83,2022-09-23,2024-09-12,WA,1734613.73,Yes,Expiring Soon; High Liability; Auto-Renew Risk; High Value,High,IT
CTR0133,TrueData Co,MSA,1712403.08,2022-11-12,2025-10-27,CA,3348903.59,Yes,Expiring Soon; High Liability; Auto-Renew Risk; High Value,High,Product
CTR0134,TrueData Co,NDA,925378.81,2022-03-30,2024-03-19,WA,2116819.46,No,Expiring Soon; High Liability; High Value,High,Legal
CTR0135,Acme Corp,Consulting,331350.19,2024-04-19,2027-04-04,GA,513269.18,No,None,Low,Finance
CTR0136,Nexus Partners,NDA,1260434.07,2024-03-01,2025-02-24,FL,3337361.47,No,Expiring Soon; High Liability; High Value,High,Design
CTR0137,Lattice Ops,Professional Services,970163.47,2022-09-27,2023-09-22,NY,2326466.36,No,Expiring Soon; High Liability; High Value,High,Legal
CTR0138,Vertex Solutions,Consulting,1952822.25,2022-08-26,2026-08-05,DE,3939910.02,No,High Liability; High Value,High,Sales
CTR0139,Pinnacle Tech,Data & Analytics,465009.0,2023-07-21,2026-07-05,CA,873721.05,No,None,Low,Finance
CTR0140,Pinnacle Tech,NDA,1377967.86,2025-03-12,2026-03-07,CO,4008258.51,No,Expiring Soon; High Liability; High Value,High,Engineering
CTR0141,Vertex Solutions,NDA,560612.16,2022-10-11,2025-09-25,MA,1607123.89,Yes,Expiring Soon; High Liability; Auto-Renew Risk; High Value,High,Operations
CTR0142,NovaSys,MSA,1106601.61,2022-09-28,2026-09-07,WA,3115380.8,No,High Liability; High Value,High,Sales
CTR0143,Apex Consulting,Hardware,531628.35,2024-07-26,2025-07-21,DE,1016148.1,Yes,Expiring Soon; High Liability; Auto-Renew Risk; High Value,High,Product
CTR0144,Lattice Ops,SaaS,804591.34,2025-05-25,2027-05-15,MA,1831253.67,No,High Liability; High Value,High,Finance
CTR0145,Summit Analytics,Consulting,27700.55,2023-05-26,2025-05-15,NY,65539.54,Yes,Expiring Soon; Auto-Renew Risk,High,Product
CTR0146,Nexus Partners,Consulting,845384.25,2025-01-03,2025-12-29,WA,1659865.18,Yes,Expiring Soon; High Liability; Auto-Renew Risk; High Value,High,Marketing
CTR0147,BrightPath Inc,Professional Services,14509.06,2023-10-05,2025-09-24,TX,18787.61,Yes,Expiring Soon; Auto-Renew Risk,High,IT
CTR0148,Meridian Systems,Data & Analytics,800449.55,2025-01-26,2026-01-21,MA,833874.2,No,Expiring Soon; High Value,High,Legal
CTR0149,BrightPath Inc,Hardware,459152.14,2022-12-24,2024-12-13,WA,913607.34,Yes,Expiring Soon; Auto-Renew Risk,High,Sales
CTR0150,Summit Analytics,Hardware,1700070.13,2022-05-27,2026-05-06,MA,3453694.98,Yes,Expiring Soon; High Liability; Auto-Renew Risk; High Value,High,Design
CTR0151,Pinnacle Tech,Professional Services,1981625.75,2023-07-10,2025-06-29,NY,2631922.15,Yes,Expiring Soon; High Liability; Auto-Renew Risk; High Value,High,Sales
CTR0152,Pinnacle Tech,SaaS,243325.7,2024-05-20,2028-04-29,CA,527385.26,No,None,Low,People
CTR0153,Orion Global,Professional Services,397630.07,2024-11-08,2028-10-18,DE,1142539.23,Yes,High Liability,Medium,Marketing
CTR0154,Clearline Ltd,Data & Analytics,1559389.68,2023-01-01,2023-12-27,WA,2634556.68,No,Expiring Soon; High Liability; High Value,High,Product
CTR0155,Apex Consulting,MSA,958762.07,2022-09-26,2024-09-15,CO,2328676.13,No,Expiring Soon; High Liability; High Value,High,Design
CTR0156,Summit Analytics,Consulting,1545682.0,2024-10-05,2027-09-20,IL,2056684.09,Yes,High Liability; High Value,High,Product
CTR0157,Pinnacle Tech,Consulting,440664.64,2023-02-15,2024-02-10,CA,663699.05,No,Expiring Soon,Medium,Legal
CTR0158,Nexus Partners,Data & Analytics,1693987.05,2024-06-15,2027-05-31,CA,2185438.83,Yes,High Liability; High Value,High,Engineering
CTR0159,TrueData Co,Professional Services,8928.33,2025-02-01,2027-01-22,FL,25908.39,No,None,Low,Operations
CTR0160,TrueData Co,NDA,1908826.82,2024-09-16,2027-09-01,TX,3266876.77,No,High Liability; High Value,High,Marketing
CTR0161,Orion Global,MSA,456439.37,2024-08-16,2026-08-06,DE,759876.67,Yes,None,Low,Design
CTR0162,DataBridge,Data & Analytics,497057.19,2022-03-18,2024-03-07,CA,1216166.71,No,Expiring Soon; High Liability,High,Operations
CTR0163,Orion Global,MSA,1359693.12,2025-05-01,2028-04-15,NY,2606525.27,Yes,High Liability; High Value,High,IT
CTR0164,BrightPath Inc,MSA,1487555.07,2022-09-03,2024-08-23,FL,4169562.91,No,Expiring Soon; High Liability; High Value,High,Sales
CTR0165,Clearline Ltd,Professional Services,1759195.76,2025-01-12,2026-01-07,NY,4565360.58,No,Expiring Soon; High Liability; High Value,High,Finance
CTR0166,Acme Corp,NDA,856251.59,2024-07-19,2027-07-04,NY,2346260.15,Yes,High Liability; High Value,High,People
CTR0167,Orion Global,Hardware,131965.59,2024-09-01,2025-08-27,FL,249733.8,No,Expiring Soon,Medium,Product
CTR0168,Meridian Systems,NDA,499352.82,2023-08-26,2027-08-05,WA,611089.22,No,None,Low,Sales
CTR0169,Orion Global,Consulting,1572052.45,2023-06-18,2024-06-12,FL,3115666.62,Yes,Expiring Soon; High Liability; Auto-Renew Risk; High Value,High,Product
CTR0170,Meridian Systems,Data & Analytics,473909.11,2024-11-29,2025-11-24,CO,1241731.32,No,Expiring Soon; High Liability,High,Finance
CTR0171,NovaSys,Professional Services,1956681.28,2023-03-25,2024-03-19,WA,1994669.28,Yes,Expiring Soon; High Liability; Auto-Renew Risk; High Value,High,IT
CTR0172,Summit Analytics,Data & Analytics,1559899.02,2024-09-09,2025-09-04,DE,3765153.17,Yes,Expiring Soon; High Liability; Auto-Renew Risk; High Value,High,Legal
CTR0173,Clearline Ltd,Professional Services,1021557.3,2022-04-23,2024-04-12,IL,2770557.61,Yes,Expiring Soon; High Liability; Auto-Renew Risk; High Value,High,Legal
CTR0174,DataBridge,Consulting,884839.87,2022-08-04,2024-07-24,CO,1274251.11,Yes,Expiring Soon; High Liability; Auto-Renew Risk; High Value,High,Engineering
CTR0175,Orion Global,MSA,1543454.44,2023-07-09,2024-07-03,CO,3213829.61,No,Expiring Soon; High Liability; High Value,High,Legal
CTR0176,Summit Analytics,MSA,1286076.95,2022-10-10,2024-09-29,CA,1628620.25,No,Expiring Soon; High Liability; High Value,High,Design
CTR0177,NovaSys,Professional Services,1765681.33,2022-10-21,2024-10-10,CO,4239589.82,No,Expiring Soon; High Liability; High Value,High,Engineering
CTR0178,Apex Consulting,MSA,67300.68,2024-05-09,2026-04-29,FL,195340.65,No,Expiring Soon,Medium,Legal
CTR0179,Pinnacle Tech,MSA,1087971.81,2022-03-24,2024-03-13,WA,2941009.4,Yes,Expiring Soon; High Liability; Auto-Renew Risk; High Value,High,Operations
CTR0180,Clearline Ltd,Data & Analytics,938047.62,2024-09-09,2025-09-04,WA,1650630.34,No,Expiring Soon; High Liability; High Value,High,Sales
CTR0181,Clearline Ltd,SaaS,244401.03,2025-04-16,2026-04-11,IL,416000.62,Yes,Expiring Soon; Auto-Renew Risk,High,Finance
CTR0182,Pinnacle Tech,SaaS,649244.02,2024-06-20,2026-06-10,TX,1802127.25,Yes,High Liability; High Value,High,Engineering
CTR0183,Acme Corp,Data & Analytics,275465.27,2024-12-12,2028-11-21,DE,552672.22,Yes,None,Low,Finance
CTR0184,BrightPath Inc,NDA,1855342.66,2022-11-27,2026-11-06,IL,5286146.75,Yes,High Liability; High Value,High,People
CTR0185,Meridian Systems,Professional Services,976870.06,2023-12-06,2025-11-25,TX,2851857.15,Yes,Expiring Soon; High Liability; Auto-Renew Risk; High Value,High,People
CTR0186,Pinnacle Tech,Data & Analytics,577935.04,2023-06-30,2025-06-19,DE,1419682.38,No,Expiring Soon; High Liability; High Value,High,Finance
CTR0187,Orion Global,Professional Services,881057.75,2024-05-05,2028-04-14,GA,1524922.07,No,High Liability; High Value,High,Product
CTR0188,ClearView AI,NDA,817747.3,2022-08-13,2025-07-28,IL,1394321.61,No,Expiring Soon; High Liability; High Value,High,Product
CTR0189,Nexus Partners,Hardware,1229440.82,2023-08-10,2024-08-04,MA,3177842.67,Yes,Expiring Soon; High Liability; Auto-Renew Risk; High Value,High,Design
CTR0190,Summit Analytics,Data & Analytics,192228.29,2024-10-29,2028-10-08,NY,459439.15,No,None,Low,Finance
CTR0191,DataBridge,NDA,1527748.18,2025-03-02,2026-02-25,CA,2995264.97,Yes,Expiring Soon; High Liability; Auto-Renew Risk; High Value,High,Legal
CTR0192,Acme Corp,SaaS,1828583.85,2025-05-07,2026-05-02,CA,5447299.78,Yes,Expiring Soon; High Liability; Auto-Renew Risk; High Value,High,Engineering
CTR0193,Meridian Systems,Data & Analytics,1083153.52,2024-09-14,2028-08-24,MA,3190318.97,Yes,High Liability; High Value,High,Finance
CTR0194,Vertex Solutions,Consulting,955815.33,2024-04-16,2026-04-06,CA,1433995.67,No,Expiring Soon; High Liability; High Value,High,Finance
CTR0195,ClearView AI,Professional Services,117817.65,2023-01-16,2025-12-31,CO,239218.62,Yes,Expiring Soon; Auto-Renew Risk,High,Finance
